0	0	-29.4528	-nan	-44.0186	-nan	inf	22.2927
2.55	0.409575	-29.4528	-43.9928	-43.993	0	0.000236099	20.7055
2.56	0.407385	-29.4528	-43.9924	-43.9926	0	0.000238709	20.693
2.57	0.405168	-29.4528	-43.992	-43.9922	0	0.000241351	20.6805
2.58	0.402921	-29.4528	-43.9916	-43.9918	0	0.000244026	20.6679
2.59	0.400647	-29.4528	-43.9911	-43.9914	0	0.000246735	20.6553
2.6	0.398344	-29.4528	-43.9907	-43.991	0	0.000249477	20.6427
2.61	0.396014	-29.4528	-43.9903	-43.9905	0	0.000252254	20.6299
2.62	0.393656	-29.4528	-43.9899	-43.9901	0	0.000255064	20.6172
2.63	0.39127	-29.4528	-43.9894	-43.9897	0	0.00025791	20.6044
2.64	0.388857	-29.4528	-43.989	-43.9892	0	0.000260792	20.5915
2.65	0.386417	-29.4528	-43.9885	-43.9888	0	0.000263709	20.5786
2.66	0.383949	-29.4528	-43.9881	-43.9883	0	0.000266663	20.5656
2.67	0.381455	-29.4528	-43.9876	-43.9879	0	0.000269653	20.5526
2.68	0.378934	-29.4528	-43.9871	-43.9874	0	0.000272681	20.5396
2.69	0.376386	-29.4528	-43.9866	-43.9869	0	0.000275746	20.5264
2.7	0.373812	-29.4528	-43.9861	-43.9864	0	0.00027885	20.5133
2.71	0.371212	-29.4528	-43.9857	-43.9859	0	0.000281992	20.5001
2.72	0.368586	-29.4528	-43.9851	-43.9854	0	0.000285174	20.4868
2.73	0.365934	-29.4528	-43.9846	-43.9849	0	0.000288395	20.4735
2.74	0.363256	-29.4528	-43.9841	-43.9844	0	0.000291657	20.4602
2.75	0.360553	-29.4528	-43.9836	-43.9839	0	0.000294959	20.4468
2.76	0.357825	-29.4528	-43.9831	-43.9834	0	0.000298302	20.4333
2.77	0.355072	-29.4528	-43.9825	-43.9828	0	0.000301688	20.4198
2.78	0.352293	-29.4528	-43.982	-43.9823	0	0.000305115	20.4063
2.79	0.349491	-29.4528	-43.9814	-43.9817	0	0.000308585	20.3927
2.8	0.346663	-29.4528	-43.9808	-43.9812	0	0.000312099	20.379
2.81	0.343812	-29.4528	-43.9803	-43.9806	0	0.000315657	20.3653
2.82	0.340936	-29.4528	-43.9797	-43.98	0	0.000319259	20.3516
2.83	0.338036	-29.4528	-43.9791	-43.9794	0	0.000322906	20.3378
2.84	0.335113	-29.4528	-43.9785	-43.9788	0	0.000326598	20.324
2.85	0.332166	-29.4528	-43.9779	-43.9782	0	0.000330337	20.3101
2.86	0.329197	-29.4528	-43.9773	-43.9776	0	0.000334123	20.2961
2.87	0.326204	-29.4528	-43.9766	-43.977	0	0.000337956	20.2822
2.88	0.323188	-29.4528	-43.976	-43.9763	0	0.000341837	20.2681
2.89	0.320149	-29.4528	-43.9753	-43.9757	0	0.000345766	20.254
2.9	0.317089	-29.4528	-43.9747	-43.975	0	0.000349745	20.2399
2.91	0.314005	-29.4528	-43.974	-43.9744	0	0.000353774	20.2257
2.92	0.3109	-29.4528	-43.9733	-43.9737	0	0.000357853	20.2115
2.93	0.307774	-29.4528	-43.9726	-43.973	0	0.000361983	20.1972
2.94	0.304625	-29.4528	-43.9719	-43.9723	0	0.000366165	20.1829
2.95	0.301456	-29.4528	-43.9712	-43.9716	0	0.000370399	20.1685
2.96	0.298265	-29.4528	-43.9705	-43.9709	0	0.000374687	20.1541
2.97	0.295054	-29.4528	-43.9698	-43.9702	0	0.000379028	20.1396
2.98	0.291821	-29.4528	-43.969	-43.9694	0	0.000383423	20.1251
2.99	0.288569	-29.4528	-43.9683	-43.9687	0	0.000387874	20.1105
3	0.285296	-29.4528	-43.9675	-43.9679	0	0.000392381	20.0959
3.01	0.282003	-29.4528	-43.9668	-43.9672	0	0.000396944	20.0812
3.02	0.278691	-29.4528	-43.966	-43.9664	0	0.000401565	20.0665
3.03	0.275359	-29.4528	-43.9652	-43.9656	0	0.000406243	20.0517
3.04	0.272007	-29.4528	-43.9644	-43.9648	0	0.000410981	20.0369
3.05	0.268637	-29.4528	-43.9635	-43.964	0	0.000415777	20.022
3.06	0.265248	-29.4528	-43.9627	-43.9631	0	0.000420635	20.0071
3.07	0.261841	-29.4528	-43.9619	-43.9623	0	0.000425553	19.9922
3.08	0.258415	-29.4528	-43.961	-43.9614	0	0.000430533	19.9772
3.09	0.254971	-29.4528	-43.9601	-43.9606	0	0.000435575	19.9621
3.1	0.251509	-29.4528	-43.9592	-43.9597	0	0.000440681	19.947
3.11	0.24803	-29.4528	-43.9583	-43.9588	0	0.000445852	19.9318
3.12	0.244533	-29.4528	-43.9574	-43.9579	0	0.000451087	19.9166
3.13	0.241019	-29.4528	-43.9565	-43.957	0	0.000456388	19.9014
3.14	0.237488	-29.4528	-43.9556	-43.956	0	0.000461756	19.8861
3.15	0.233941	-29.4528	-43.9546	-43.9551	0	0.000467191	19.8707
3.16	0.230377	-29.4528	-43.9536	-43.9541	0	0.000472695	19.8553
3.17	0.226798	-29.4528	-43.9526	-43.9531	0	0.000478268	19.8399
3.18	0.223202	-29.4528	-43.9516	-43.9521	0	0.000483912	19.8244
3.19	0.219591	-29.4528	-43.9506	-43.9511	0	0.000489626	19.8088
3.2	0.215965	-29.4528	-43.9496	-43.9501	0	0.000495413	19.7932
3.21	0.212323	-29.4528	-43.9486	-43.9491	0	0.000501272	19.7776
3.22	0.208667	-29.4528	-43.9475	-43.948	0	0.000507206	19.7619
3.23	0.204996	-29.4528	-43.9464	-43.9469	0	0.000513214	19.7461
3.24	0.20131	-29.4528	-43.9453	-43.9459	0	0.000519298	19.7303
3.25	0.197611	-29.4528	-43.9442	-43.9448	0	0.000525458	19.7145
3.26	0.193898	-29.4528	-43.9431	-43.9436	0	0.000531697	19.6986
3.27	0.190171	-29.4528	-43.942	-43.9425	0	0.000538014	19.6827
3.28	0.186431	-29.4528	-43.9408	-43.9414	0	0.00054441	19.6667
3.29	0.182678	-29.4528	-43.9396	-43.9402	0	0.000550888	19.6506
3.3	0.178912	-29.4528	-43.9384	-43.939	0	0.000557447	19.6345
3.31	0.175134	-29.4528	-43.9372	-43.9378	0	0.000564089	19.6184
3.32	0.171343	-29.4528	-43.936	-43.9366	0	0.000570815	19.6022
3.33	0.167541	-29.4528	-43.9347	-43.9353	0	0.000577626	19.586
3.34	0.163727	-29.4528	-43.9335	-43.9341	0	0.000584523	19.5697
3.35	0.159901	-29.4528	-43.9322	-43.9328	0	0.000591508	19.5534
3.36	0.156065	-29.4528	-43.9309	-43.9315	0	0.00059858	19.537
3.37	0.152217	-29.4528	-43.9296	-43.9302	0	0.000605742	19.5206
3.38	0.148359	-29.4528	-43.9282	-43.9288	0	0.000612994	19.5041
3.39	0.14449	-29.4528	-43.9269	-43.9275	0	0.000620338	19.4876
3.4	0.140612	-29.4528	-43.9255	-43.9261	0	0.000627775	19.471
3.41	0.136723	-29.4528	-43.9241	-43.9247	0	0.000635306	19.4544
