0	-nan	-nan	-nan
3.06	0.128579	0.036617	0.0919621
3.07	0.128652	0.0366885	0.0919637
3.08	0.128724	0.0367593	0.0919652
3.09	0.128796	0.0368292	0.0919666
3.1	0.128866	0.0368983	0.091968
3.11	0.128936	0.0369665	0.0919695
3.12	0.129005	0.037034	0.091971
3.13	0.129073	0.0371007	0.0919727
3.14	0.129141	0.0371666	0.0919744
3.15	0.129208	0.0372318	0.0919762
3.16	0.129274	0.0372962	0.0919783
3.17	0.12934	0.0373598	0.0919805
3.18	0.129406	0.0374228	0.0919829
3.19	0.129471	0.037485	0.0919856
3.2	0.129535	0.0375465	0.0919885
3.21	0.129599	0.0376073	0.0919918
3.22	0.129663	0.0376675	0.0919953
3.23	0.129726	0.037727	0.0919991
3.24	0.129789	0.0377858	0.0920033
3.25	0.129852	0.037844	0.0920079
3.26	0.129914	0.0379015	0.0920128
3.27	0.129977	0.0379585	0.0920182
3.28	0.130039	0.0380148	0.0920239
3.29	0.130101	0.0380706	0.0920301
3.3	0.130163	0.0381258	0.0920368
3.31	0.130224	0.0381804	0.0920438
3.32	0.130286	0.0382345	0.0920514
3.33	0.130347	0.038288	0.0920595
3.34	0.130409	0.038341	0.092068
3.35	0.130471	0.0383936	0.0920771
3.36	0.130532	0.0384456	0.0920866
3.37	0.130594	0.0384972	0.0920968
3.38	0.130656	0.0385483	0.0921074
3.39	0.130718	0.038599	0.0921186
3.4	0.13078	0.0386493	0.0921303
3.41	0.130842	0.0386991	0.0921426
3.42	0.130904	0.0387486	0.0921555
3.43	0.130967	0.0387976	0.0921689
3.44	0.131029	0.0388463	0.0921829
3.45	0.131092	0.0388947	0.0921975
3.46	0.131155	0.0389427	0.0922127
3.47	0.131219	0.0389904	0.0922284
3.48	0.131283	0.0390378	0.0922447
3.49	0.131347	0.0390849	0.0922617
3.5	0.131411	0.0391318	0.0922792
3.51	0.131476	0.0391784	0.0922973
3.52	0.131541	0.0392247	0.092316
3.53	0.131606	0.0392709	0.0923352
3.54	0.131672	0.0393168	0.0923551
3.55	0.131738	0.0393625	0.0923755
3.56	0.131805	0.0394081	0.0923965
3.57	0.131872	0.0394535	0.0924181
3.58	0.131939	0.0394987	0.0924403
3.59	0.132007	0.0395439	0.092463
3.6	0.132075	0.0395889	0.0924863
3.61	0.132144	0.0396338	0.0925102
3.62	0.132213	0.0396787	0.0925346
3.63	0.132283	0.0397234	0.0925595
3.64	0.132353	0.0397682	0.092585
3.65	0.132424	0.0398129	0.092611
3.66	0.132495	0.0398576	0.0926376
3.67	0.132567	0.0399022	0.0926647
3.68	0.132639	0.0399469	0.0926922
3.69	0.132712	0.0399917	0.0927203
3.7	0.132785	0.0400364	0.0927489
3.71	0.132859	0.0400813	0.0927779
3.72	0.132934	0.0401262	0.0928075
3.73	0.133009	0.0401712	0.0928374
3.74	0.133084	0.0402163	0.0928679
3.75	0.13316	0.0402615	0.0928988
3.76	0.133237	0.0403069	0.0929301
3.77	0.133314	0.0403524	0.0929618
3.78	0.133392	0.040398	0.092994
3.79	0.13347	0.0404439	0.0930265
3.8	0.133549	0.0404899	0.0930594
3.81	0.133629	0.0405362	0.0930928
3.82	0.133709	0.0405826	0.0931264
3.83	0.13379	0.0406293	0.0931605
3.84	0.133871	0.0406763	0.0931948
3.85	0.133953	0.0407235	0.0932295
3.86	0.134035	0.0407709	0.0932645
3.87	0.134119	0.0408187	0.0932998
3.88	0.134202	0.0408667	0.0933355
3.89	0.134286	0.0409151	0.0933713
3.9	0.134371	0.0409638	0.0934075
3.91	0.134457	0.0410128	0.0934439
3.92	0.134543	0.0410621	0.0934805
3.93	0.134629	0.0411118	0.0935174
3.94	0.134716	0.0411619	0.0935545
3.95	0.134804	0.0412124	0.0935918
3.96	0.134892	0.0412632	0.0936292
3.97	0.134981	0.0413144	0.0936669
3.98	0.135071	0.0413661	0.0937047
3.99	0.135161	0.0414181	0.0937427
4	0.135251	0.0414706	0.0937807
4.01	0.135343	0.0415235	0.093819
4.02	0.135434	0.0415769	0.0938573
4.03	0.135526	0.0416307	0.0938958
4.04	0.135619	0.041685	0.0939343
4.05	0.135713	0.0417397	0.0939729
4.06	0.135806	0.0417949	0.0940115
4.07	0.135901	0.0418506	0.0940503
4.08	0.135996	0.0419068	0.094089
4.09	0.136091	0.0419635	0.0941278
4.1	0.136187	0.0420207	0.0941666
4.11	0.136284	0.0420784	0.0942054
4.12	0.136381	0.0421366	0.0942442
4.13	0.136478	0.0421953	0.094283
4.14	0.136576	0.0422545	0.0943218
4.15	0.136675	0.0423143	0.0943605
4.16	0.136774	0.0423746	0.0943992
4.17	0.136873	0.0424354	0.0944378
4.18	0.136973	0.0424968	0.0944763
4.19	0.137073	0.0425587	0.0945148
4.2	0.137174	0.0426211	0.0945531
4.21	0.137275	0.0426841	0.0945914
4.22	0.137377	0.0427476	0.0946296
4.23	0.137479	0.0428117	0.0946676
4.24	0.137582	0.0428763	0.0947055
4.25	0.137685	0.0429414	0.0947433
4.26	0.137788	0.0430071	0.0947809
4.27	0.137892	0.0430733	0.0948184
4.28	0.137996	0.0431401	0.0948557
4.29	0.1381	0.0432074	0.0948929
4.3	0.138205	0.0432753	0.0949298
4.31	0.13831	0.0433437	0.0949666
4.32	0.138416	0.0434126	0.0950032
4.33	0.138522	0.043482	0.0950396
4.34	0.138628	0.043552	0.0950758
4.35	0.138734	0.0436225	0.0951118
4.36	0.138841	0.0436935	0.0951475
4.37	0.138948	0.043765	0.095183
4.38	0.139055	0.043837	0.0952183
4.39	0.139163	0.0439095	0.0952534
4.4	0.139271	0.0439825	0.0952882
4.41	0.139379	0.044056	0.0953227
4.42	0.139487	0.0441299	0.095357
4.43	0.139595	0.0442044	0.0953911
4.44	0.139704	0.0442792	0.0954248
4.45	0.139813	0.0443546	0.0954583
4.46	0.139922	0.0444303	0.0954916
4.47	0.140031	0.0445065	0.0955245
4.48	0.14014	0.0445831	0.0955572
4.49	0.14025	0.0446602	0.0955895
4.5	0.140359	0.0447376	0.0956216
4.51	0.140469	0.0448154	0.0956534
4.52	0.140578	0.0448935	0.0956848
4.53	0.140688	0.0449721	0.095716
4.54	0.140798	0.0450509	0.0957468
4.55	0.140907	0.0451301	0.0957774
4.56	0.141017	0.0452097	0.0958076
4.57	0.141127	0.0452895	0.0958374
4.58	0.141237	0.0453696	0.095867
4.59	0.141346	0.0454499	0.0958962
4.6	0.141456	0.0455306	0.0959251
4.61	0.141565	0.0456114	0.0959537
